commandId,sectionId,sectionName,name,isToggle,namedId
148,0,Main,Track: Set volume for track 17 (MIDI CC/OSC only),0,
149,0,Main,Track: Set pan for track 17 (MIDI CC/OSC only),0,
150,0,Main,Track: Toggle mute for track 17,1,
151,0,Main,Track: Toggle solo for track 17,1,
152,0,Main,Track: Toggle FX bypass for track 17,1,
153,0,Main,Track: Toggle record arm for track 17,1,
154,0,Main,Track: Set mute for track 17 (MIDI CC/OSC only),0,
155,0,Main,Track: Set solo for track 17 (MIDI CC/OSC only),0,
156,0,Main,Track: Set volume for track 18 (MIDI CC/OSC only),0,
157,0,Main,Track: Set pan for track 18 (MIDI CC/OSC only),0,
158,0,Main,Track: Toggle mute for track 18,1,
159,0,Main,Track: Toggle solo for track 18,1,
160,0,Main,Track: Toggle FX bypass for track 18,1,
161,0,Main,Track: Toggle record arm for track 18,1,
162,0,Main,Track: Set mute for track 18 (MIDI CC/OSC only),0,
163,0,Main,Track: Set solo for track 18 (MIDI CC/OSC only),0,
164,0,Main,Track: Set volume for track 19 (MIDI CC/OSC only),0,
165,0,Main,Track: Set pan for track 19 (MIDI CC/OSC only),0,
166,0,Main,Track: Toggle mute for track 19,1,
167,0,Main,Track: Toggle solo for track 19,1,
168,0,Main,Track: Toggle FX bypass for track 19,1,
169,0,Main,Track: Toggle record arm for track 19,1,
170,0,Main,Track: Set mute for track 19 (MIDI CC/OSC only),0,
171,0,Main,Track: Set solo for track 19 (MIDI CC/OSC only),0,
172,0,Main,Track: Set volume for track 20 (MIDI CC/OSC only),0,
173,0,Main,Track: Set pan for track 20 (MIDI CC/OSC only),0,
174,0,Main,Track: Toggle mute for track 20,1,
175,0,Main,Track: Toggle solo for track 20,1,
176,0,Main,Track: Toggle FX bypass for track 20,1,
177,0,Main,Track: Toggle record arm for track 20,1,
178,0,Main,Track: Set mute for track 20 (MIDI CC/OSC only),0,
179,0,Main,Track: Set solo for track 20 (MIDI CC/OSC only),0,
180,0,Main,Track: Set volume for track 21 (MIDI CC/OSC only),0,
181,0,Main,Track: Set pan for track 21 (MIDI CC/OSC only),0,
182,0,Main,Track: Toggle mute for track 21,1,
183,0,Main,Track: Toggle solo for track 21,1,
184,0,Main,Track: Toggle FX bypass for track 21,1,
185,0,Main,Track: Toggle record arm for track 21,1,
186,0,Main,Track: Set mute for track 21 (MIDI CC/OSC only),0,
187,0,Main,Track: Set solo for track 21 (MIDI CC/OSC only),0,
188,0,Main,Track: Set volume for track 22 (MIDI CC/OSC only),0,
189,0,Main,Track: Set pan for track 22 (MIDI CC/OSC only),0,
190,0,Main,Track: Toggle mute for track 22,1,
191,0,Main,Track: Toggle solo for track 22,1,
192,0,Main,Track: Toggle FX bypass for track 22,1,
193,0,Main,Track: Toggle record arm for track 22,1,
194,0,Main,Track: Set mute for track 22 (MIDI CC/OSC only),0,
195,0,Main,Track: Set solo for track 22 (MIDI CC/OSC only),0,
196,0,Main,Track: Set volume for track 23 (MIDI CC/OSC only),0,
197,0,Main,Track: Set pan for track 23 (MIDI CC/OSC only),0,
198,0,Main,Track: Toggle mute for track 23,1,
199,0,Main,Track: Toggle solo for track 23,1,
200,0,Main,Track: Toggle FX bypass for track 23,1,
201,0,Main,Track: Toggle record arm for track 23,1,
202,0,Main,Track: Set mute for track 23 (MIDI CC/OSC only),0,
203,0,Main,Track: Set solo for track 23 (MIDI CC/OSC only),0,
204,0,Main,Track: Set volume for track 24 (MIDI CC/OSC only),0,
205,0,Main,Track: Set pan for track 24 (MIDI CC/OSC only),0,
206,0,Main,Track: Toggle mute for track 24,1,
207,0,Main,Track: Toggle solo for track 24,1,
208,0,Main,Track: Toggle FX bypass for track 24,1,
209,0,Main,Track: Toggle record arm for track 24,1,
210,0,Main,Track: Set mute for track 24 (MIDI CC/OSC only),0,
211,0,Main,Track: Set solo for track 24 (MIDI CC/OSC only),0,
212,0,Main,Track: Set volume for track 25 (MIDI CC/OSC only),0,
213,0,Main,Track: Set pan for track 25 (MIDI CC/OSC only),0,
214,0,Main,Track: Toggle mute for track 25,1,
215,0,Main,Track: Toggle solo for track 25,1,
216,0,Main,Track: Toggle FX bypass for track 25,1,
217,0,Main,Track: Toggle record arm for track 25,1,
218,0,Main,Track: Set mute for track 25 (MIDI CC/OSC only),0,
219,0,Main,Track: Set solo for track 25 (MIDI CC/OSC only),0,
220,0,Main,Track: Set volume for track 26 (MIDI CC/OSC only),0,
221,0,Main,Track: Set pan for track 26 (MIDI CC/OSC only),0,
222,0,Main,Track: Toggle mute for track 26,1,
223,0,Main,Track: Toggle solo for track 26,1,
224,0,Main,Track: Toggle FX bypass for track 26,1,
225,0,Main,Track: Toggle record arm for track 26,1,
226,0,Main,Track: Set mute for track 26 (MIDI CC/OSC only),0,
227,0,Main,Track: Set solo for track 26 (MIDI CC/OSC only),0,
228,0,Main,Track: Set volume for track 27 (MIDI CC/OSC only),0,
229,0,Main,Track: Set pan for track 27 (MIDI CC/OSC only),0,
230,0,Main,Track: Toggle mute for track 27,1,
231,0,Main,Track: Toggle solo for track 27,1,
232,0,Main,Track: Toggle FX bypass for track 27,1,
233,0,Main,Track: Toggle record arm for track 27,1,
234,0,Main,Track: Set mute for track 27 (MIDI CC/OSC only),0,
235,0,Main,Track: Set solo for track 27 (MIDI CC/OSC only),0,
236,0,Main,Track: Set volume for track 28 (MIDI CC/OSC only),0,
237,0,Main,Track: Set pan for track 28 (MIDI CC/OSC only),0,
238,0,Main,Track: Toggle mute for track 28,1,
239,0,Main,Track: Toggle solo for track 28,1,
240,0,Main,Track: Toggle FX bypass for track 28,1,
241,0,Main,Track: Toggle record arm for track 28,1,
242,0,Main,Track: Set mute for track 28 (MIDI CC/OSC only),0,
243,0,Main,Track: Set solo for track 28 (MIDI CC/OSC only),0,
244,0,Main,Track: Set volume for track 29 (MIDI CC/OSC only),0,
245,0,Main,Track: Set pan for track 29 (MIDI CC/OSC only),0,
246,0,Main,Track: Toggle mute for track 29,1,
247,0,Main,Track: Toggle solo for track 29,1,
248,0,Main,Track: Toggle FX bypass for track 29,1,
249,0,Main,Track: Toggle record arm for track 29,1,
250,0,Main,Track: Set mute for track 29 (MIDI CC/OSC only),0,
251,0,Main,Track: Set solo for track 29 (MIDI CC/OSC only),0,
252,0,Main,Track: Set volume for track 30 (MIDI CC/OSC only),0,
253,0,Main,Track: Set pan for track 30 (MIDI CC/OSC only),0,
254,0,Main,Track: Toggle mute for track 30,1,
255,0,Main,Track: Toggle solo for track 30,1,
256,0,Main,Track: Toggle FX bypass for track 30,1,
257,0,Main,Track: Toggle record arm for track 30,1,
258,0,Main,Track: Set mute for track 30 (MIDI CC/OSC only),0,
259,0,Main,Track: Set solo for track 30 (MIDI CC/OSC only),0,
260,0,Main,Track: Set volume for track 31 (MIDI CC/OSC only),0,
261,0,Main,Track: Set pan for track 31 (MIDI CC/OSC only),0,
262,0,Main,Track: Toggle mute for track 31,1,
263,0,Main,Track: Toggle solo for track 31,1,
264,0,Main,Track: Toggle FX bypass for track 31,1,
265,0,Main,Track: Toggle record arm for track 31,1,
266,0,Main,Track: Set mute for track 31 (MIDI CC/OSC only),0,
267,0,Main,Track: Set solo for track 31 (MIDI CC/OSC only),0,
268,0,Main,Track: Set volume for track 32 (MIDI CC/OSC only),0,
269,0,Main,Track: Set pan for track 32 (MIDI CC/OSC only),0,
270,0,Main,Track: Toggle mute for track 32,1,
271,0,Main,Track: Toggle solo for track 32,1,
272,0,Main,Track: Toggle FX bypass for track 32,1,
273,0,Main,Track: Toggle record arm for track 32,1,
274,0,Main,Track: Set mute for track 32 (MIDI CC/OSC only),0,
275,0,Main,Track: Set solo for track 32 (MIDI CC/OSC only),0,
276,0,Main,Track: Set volume for track 33 (MIDI CC/OSC only),0,
277,0,Main,Track: Set pan for track 33 (MIDI CC/OSC only),0,
278,0,Main,Track: Toggle mute for track 33,1,
